,CustomerID,Genre,Age,Annual Income (k$),Group
0,1,1,19,15,2
1,2,1,21,15,2
2,3,0,20,16,2
3,4,0,23,16,2
4,5,0,31,17,2
5,6,0,22,17,2
6,7,0,35,18,2
7,8,0,23,18,2
8,9,1,64,19,2
9,10,0,30,19,2
10,11,1,67,19,2
11,12,0,35,19,2
12,13,0,58,20,2
13,14,0,24,20,2
14,15,1,37,20,2
15,16,1,22,20,2
16,17,0,35,21,2
17,18,1,20,21,2
18,19,1,52,23,2
19,20,0,35,23,2
20,21,1,35,24,2
21,22,1,25,24,2
22,23,0,46,25,2
23,24,1,31,25,2
24,25,0,54,28,2
25,26,1,29,28,2
26,27,0,45,28,2
27,28,1,35,28,2
28,29,0,40,29,2
29,30,0,23,29,2
30,31,1,60,30,2
31,32,0,21,30,2
32,33,1,53,33,2
33,34,1,18,33,2
34,35,0,49,33,2
35,36,0,21,33,2
36,37,0,42,34,2
37,38,0,30,34,2
38,39,0,36,37,2
39,40,0,20,37,2
40,41,0,65,38,2
41,42,1,24,38,2
42,43,1,48,39,2
43,44,0,31,39,2
44,45,0,49,39,2
45,46,0,24,39,2
46,47,0,50,40,2
47,48,0,27,40,2
48,49,0,29,40,2
49,50,0,31,40,2
50,51,0,49,42,2
51,52,1,33,42,2
52,53,0,31,43,2
53,54,1,59,43,2
54,55,0,50,43,2
55,56,1,47,43,2
56,57,0,51,44,2
57,58,1,69,44,2
58,59,0,27,46,2
59,60,1,53,46,2
60,61,1,70,46,0
61,62,1,19,46,2
62,63,0,67,47,0
63,64,0,54,47,0
64,65,1,63,48,0
65,66,1,18,48,0
66,67,0,43,48,0
67,68,0,68,48,0
68,69,1,19,48,0
69,70,0,32,48,0
70,71,1,70,49,0
71,72,0,47,49,0
72,73,0,60,50,0
73,74,0,60,50,0
74,75,1,59,54,0
75,76,1,26,54,0
76,77,0,45,54,0
77,78,1,40,54,0
78,79,0,23,54,0
79,80,0,49,54,0
80,81,1,57,54,0
81,82,1,38,54,0
82,83,1,67,54,0
83,84,0,46,54,0
84,85,0,21,54,0
85,86,1,48,54,0
86,87,0,55,57,0
87,88,0,22,57,0
88,89,0,34,58,0
89,90,0,50,58,0
90,91,0,68,59,0
91,92,1,18,59,0
92,93,1,48,60,0
93,94,0,40,60,0
94,95,0,32,60,0
95,96,1,24,60,0
96,97,0,47,60,0
97,98,0,27,60,0
98,99,1,48,61,0
99,100,1,20,61,0
100,101,0,23,62,0
101,102,0,49,62,0
102,103,1,67,62,0
103,104,1,26,62,0
104,105,1,49,62,0
105,106,0,21,62,0
106,107,0,66,63,0
107,108,1,54,63,0
108,109,1,68,63,0
109,110,1,66,63,0
110,111,1,65,63,0
111,112,0,19,63,0
112,113,0,38,64,0
113,114,1,19,64,0
114,115,0,18,65,0
115,116,0,19,65,0
116,117,0,63,65,0
117,118,0,49,65,0
118,119,0,51,67,0
119,120,0,50,67,0
120,121,1,27,67,0
121,122,0,38,67,0
122,123,0,40,69,0
123,124,1,39,69,0
124,125,0,23,70,0
125,126,0,31,70,0
126,127,1,43,71,0
127,128,1,40,71,0
128,129,1,59,71,0
129,130,1,38,71,0
130,131,1,47,71,0
131,132,1,39,71,0
132,133,0,25,72,1
133,134,0,31,72,1
134,135,1,20,73,1
135,136,0,29,73,1
136,137,0,44,73,1
137,138,1,32,73,1
138,139,1,19,74,1
139,140,0,35,74,1
140,141,0,57,75,1
141,142,1,32,75,1
142,143,0,28,76,1
143,144,0,32,76,1
144,145,1,25,77,1
145,146,1,28,77,1
146,147,1,48,77,1
147,148,0,32,77,1
148,149,0,34,78,1
149,150,1,34,78,1
150,151,1,43,78,1
151,152,1,39,78,1
152,153,0,44,78,1
153,154,0,38,78,1
154,155,0,47,78,1
155,156,0,27,78,1
156,157,1,37,78,1
157,158,0,30,78,1
158,159,1,34,78,1
159,160,0,30,78,1
160,161,0,56,79,1
161,162,0,29,79,1
162,163,1,19,81,1
163,164,0,31,81,1
164,165,1,50,85,1
165,166,0,36,85,1
166,167,1,42,86,1
167,168,0,33,86,1
168,169,0,36,87,1
169,170,1,32,87,1
170,171,1,40,87,1
171,172,1,28,87,1
172,173,1,36,87,1
173,174,1,36,87,1
174,175,0,52,88,1
175,176,0,30,88,1
176,177,1,58,88,1
177,178,1,27,88,1
178,179,1,59,93,1
179,180,1,35,93,1
180,181,0,37,97,1
181,182,0,32,97,1
182,183,1,46,98,1
183,184,0,29,98,1
184,185,0,41,99,1
185,186,1,30,99,1
186,187,0,54,101,1
187,188,1,28,101,1
188,189,0,41,103,1
189,190,0,36,103,1
190,191,0,34,103,1
191,192,0,32,103,1
192,193,1,33,113,1
193,194,0,38,113,1
194,195,0,47,120,1
195,196,0,35,120,1
196,197,0,45,126,1
197,198,1,32,126,1
198,199,1,32,137,1
199,200,1,30,137,1
